City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Evensk,RU,61.95,159.2333,49.26,85,100,11.45,overcast clouds
307,Viedma,AR,-40.8135,-62.9967,41.52,62,8,16.02,clear sky
308,Roald,NO,62.5833,6.1333,52.75,93,0,4.61,clear sky
309,Midland,US,31.9974,-102.0779,76.48,79,75,12.66,moderate rain
310,Lora Del Rio,ES,37.659,-5.5275,69.6,54,0,3.8,clear sky
311,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.75,81,1,25.97,clear sky
312,Nsanje,MW,-16.92,35.262,70.18,76,1,0.78,clear sky
313,Cabo San Lucas,MX,22.8909,-109.9124,83.52,82,100,4.79,overcast clouds
314,Nyrob,RU,60.733,56.7202,57.38,49,38,3.76,scattered clouds
315,Ketchikan,US,55.3422,-131.6461,64.87,94,20,5.75,few clouds
316,Kenai,US,60.5544,-151.2583,55.49,84,75,18.41,broken clouds
317,Middelkerke,BE,51.1558,2.8418,64.0,97,75,2.3,mist
318,Mulege,MX,26.8833,-111.9833,85.3,69,84,3.06,broken clouds
319,Bull Savanna,JM,17.8868,-77.5902,77.43,82,92,3.83,overcast clouds
320,Port-Cartier,CA,50.0334,-66.8654,65.75,68,100,6.96,overcast clouds
321,Arrifes,PT,37.7667,-25.7,68.23,72,20,8.05,few clouds
322,Roma,US,43.2128,-75.4557,64.36,88,40,4.61,scattered clouds
323,La Ronge,CA,55.1001,-105.2842,62.85,88,75,2.3,broken clouds
324,Manoel Urbano,BR,-8.8389,-69.2597,74.46,81,23,3.09,few clouds
325,Luderitz,NA,-26.6481,15.1594,55.13,88,39,11.95,scattered clouds
326,Seabra,BR,-12.4186,-41.7703,54.41,95,0,2.64,clear sky
327,Kawambwa,ZM,-9.7915,29.0791,60.15,54,11,3.83,few clouds
328,Chicama,PE,-7.8447,-79.1469,57.74,88,81,6.24,broken clouds
329,Nago,JP,26.5881,127.9761,91.83,70,81,13.02,broken clouds
330,Natal,BR,-5.795,-35.2094,73.62,94,40,8.05,scattered clouds
331,Lake Havasu City,US,34.4839,-114.3224,96.22,41,0,3.44,clear sky
332,Durban,ZA,-29.8579,31.0292,61.02,73,100,4.0,overcast clouds
333,Tanabe,JP,33.7333,135.3667,87.01,66,75,5.75,broken clouds
334,Asau,RO,46.4333,26.4,63.52,86,13,2.13,few clouds
335,Paita,PE,-5.0892,-81.1144,62.24,85,71,11.45,broken clouds
336,Komsomolskiy,UZ,40.4272,71.7189,83.12,20,0,4.61,clear sky
337,Fukue,JP,32.6881,128.8419,71.96,94,75,3.44,broken clouds
338,Flinders,AU,-34.5833,150.8552,66.06,60,99,3.0,overcast clouds
339,Pangkalanbuun,ID,-2.6833,111.6167,89.91,51,54,6.87,broken clouds
340,Maceio,BR,-9.6658,-35.7353,72.84,88,75,5.75,broken clouds
341,Tiksi,RU,71.6872,128.8694,45.37,84,19,11.92,few clouds
342,Saint-Dizier,FR,48.4167,5.0833,60.69,90,100,4.12,overcast clouds
343,Kawai,JP,34.2333,135.85,77.83,79,85,6.06,overcast clouds
344,Qaqortoq,GL,60.7167,-46.0333,40.06,89,1,3.04,clear sky
345,Prince Rupert,CA,54.3161,-130.3201,62.69,94,0,5.75,clear sky
346,Isangel,VU,-19.55,169.2667,71.31,84,100,12.86,overcast clouds
