City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
355,Pizarro,CO,77.11,light rain,4.9533,-77.366,Hotel Limonar
356,Oytal,KZ,76.3,clear sky,42.9057,73.2697,Sanatorium Ak-Niet
358,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
363,Limbang,MY,89.71,broken clouds,4.75,115.0,Purnama Hotel
364,Tessalit,ML,82.65,scattered clouds,20.1986,1.0114,
366,Thongwa,MM,84.36,overcast clouds,16.7619,96.5278,Mhaw Wun Marlar Park
370,Brisbane,AU,76.75,clear sky,-27.4679,153.0281,Royal On The Park Brisbane
372,Kalmunai,LK,87.28,broken clouds,7.4167,81.8167,VS Villa
377,Kupang,ID,88.38,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
378,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
384,Biga,TR,76.05,clear sky,40.2281,27.2422,Köşdere Otel
386,Jiaohe,CN,78.28,broken clouds,43.7286,127.3447,Home Inn Fashion Hotel
390,Pontes E Lacerda,BR,77.11,scattered clouds,-15.2261,-59.3353,Hotel Bressan
392,Georgetown,MY,87.89,scattered clouds,5.4112,100.3354,Cititel Penang
393,Tukrah,LY,79.77,clear sky,32.5341,20.5791,Lagrota restaurant
395,Elko,US,80.22,clear sky,41.0002,-115.5012,
396,Pochutla,MX,79.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
402,Hunchun,CN,83.8,few clouds,42.8675,130.3581,International Hotel
403,Sooke,CA,80.58,clear sky,48.3746,-123.7276,Sooke Harbour House Hotel & Resort
412,Chumphon,TH,85.51,broken clouds,10.3333,98.8333,สกาน จ๋า.
415,Nhulunbuy,AU,81.21,few clouds,-12.2333,136.7667,East Arnhem Real Estate
417,Aswan,EG,85.3,clear sky,24.0934,32.907,Nuba Nile
419,Kondagaon,IN,83.88,scattered clouds,19.6,81.6667,AYAN MOTER
421,Basco,PH,80.73,moderate rain,20.4487,121.9702,Nathaniel's Lodge
422,Puerto Escondido,MX,81.43,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
433,Kidal,ML,81.28,broken clouds,18.4411,1.4078,
437,Dingle,PH,85.05,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
445,Coahuayana,MX,78.87,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
446,Surt,LY,82.45,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
447,Tawau,MY,89.73,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
449,Buala,SB,84.16,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
452,Aksu,CN,80.08,clear sky,41.1231,80.2644,Pudong Holiday Hotel
453,Makat,KZ,87.35,broken clouds,47.6469,53.3463,Umit
455,Frunze,UA,81.54,scattered clouds,48.6686,38.7544,
456,Turayf,SA,79.05,clear sky,31.6725,38.6637,Turaif
459,Baracoa,CU,79.45,few clouds,20.3467,-74.4958,Hostal Rio Miel
460,Pong,TH,80.1,overcast clouds,19.1493,100.2752,999 Hotel
462,Zhanakorgan,KZ,82.58,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
465,Acajutla,SV,78.53,overcast clouds,13.5928,-89.8275,Laureles
467,Krasnyy Yar,RU,88.97,clear sky,46.5331,48.3456,Cottege near Ufa
469,Alyangula,AU,77.47,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
470,Mendota,US,88.07,clear sky,36.7536,-120.3816,Joe Gómez motel
472,Chor,PK,78.6,very heavy rain,25.5167,69.7667,Asad U Bajeer Hotel
474,Yenotayevka,RU,87.42,broken clouds,47.2456,47.0281,Hotel Voyage
482,Palu,ID,88.68,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
486,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
488,Biak,ID,80.26,overcast clouds,-0.9131,122.8766,Penginapan Kim
493,Le Port,RE,75.16,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
496,Pyapon,MM,83.17,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
497,Vila Do Maio,CV,79.59,overcast clouds,15.1333,-23.2167,Hotel Marilu
498,Dwarka,IN,81.73,light rain,22.2394,68.9678,Hotel Narayan Avezika Comfort
499,Islamkot,PK,81.64,moderate rain,24.6997,70.177,Haji Hotel
500,Nurota,UZ,79.72,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
507,Almaznyy,RU,79.93,broken clouds,48.0448,40.045,
508,Meadow Lake,US,77.11,scattered clouds,34.8014,-106.5436,TumbleWeed RV Park
